PROJECT NUMBER,BUILDING ID,PROJECT DESCRIPTION,SCHOOL NAME,SCHOOL ADDRESS,SED APPROVED ESTIMATE,DATE APPLICATION SUBMITTED TO SED,BOROUGH,POSTCODE,LATITUDE,LONGITUDE,COMMUNITY BOARD,COUNCIL DISTRICT,CENSUS TRACT,BIN,BBL,NTA
JEY,K415,INDOOR BUILDING IMPROVEMENT - COMPUTER ROOM WIRING TO UPGRADE COMPUTER LABS,IT TAKES A VILLAGE ACADEMY - K,5800 TILDEN AVENUE,34911,,3,11203,40.648657,-73.922171,17,45,936,3104598,3047420001,Rugby-Remsen Village                                                       
JEZ,K152,INDOOR BUILDING IMPROVEMENT - COMPUTER ROOM WIRING TO UPGRADE COMPUTER LABS,P.S. 152 - BROOKLYN,725 EAST 23RD STREET,34798,,3,11210,40.632562,-73.954724,14,45,772,3205780,3075510026,Flatbush                                                                   
JF0,K415,INDOOR BUILDING IMPROVEMENT - COMPUTER ROOM WIRING TO UPGRADE COMPUTER LABS,CULT ACAD ARTS AND SCI - BROOK,5800 TILDEN AVENUE,35000,,3,11203,40.648657,-73.922171,17,45,936,3104598,3047420001,Rugby-Remsen Village                                                       
JF1,K425,INDOOR BUILDING IMPROVEMENT - COMPUTER ROOM WIRING TO UPGRADE COMPUTER LABS,JAMES MADISON HS - BROOKLYN,3787 BEDFORD AVENUE,74997,,3,11229,40.609912,-73.948512,15,48,642,3182721,3067880001,Madison                                                                    
JFQ,K048,INDOOR BUILDING IMPROVEMENT - COMPUTER ROOM WIRING TO UPGRADE COMPUTER LABS,P.S. 48 - BROOKLYN,6015 18 AVENUE,34999,,3,11204,40.621871,-73.987396,12,44,244,3132140,3055190001,Borough Park                                                               
JFR,K377,INDOOR BUILDING IMPROVEMENT - COMPUTER ROOM WIRING TO UPGRADE COMPUTER LABS,P.S. 377 - BROOKLYN,200 WOODBINE STREET,149972,,3,11221,40.694018,-73.915263,4,37,415,3076784,3033600001,Bushwick South                                                             
JGH,K410,INDOOR BUILDING IMPROVEMENT - COMPUTER ROOM WIRING TO UPGRADE COMPUTER LABS,ABRAHAM LINCOLN HS - BROOKLYN,2800 OCEAN PARKWAY,35000,,3,11235,40.581681,-73.967308,13,47,354,3196293,3072540001,West Brighton                                                              
JGI,K237,INDOOR BUILDING IMPROVEMENT - COMPUTER ROOM WIRING TO UPGRADE COMPUTER LABS,THE ACADAMY OF TALENTED SCHOLA,50 AVENUE P,49661,,3,11204,40.60731,-73.986595,11,44,428,3396829,3066180001,Bensonhurst East                                                           
JN2,M115,Asbestos  abatement,P.S. 115 - MANHATTAN,586 WEST 177 STREET,10476,,1,10033,40.846542,-73.935205,12,10,261,1063228,1021330040,Washington Heights South                                                   
JHX,Q192,INDOOR BUILDING IMPROVEMENT - COMPUTER ROOM WIRING TO UPGRADE COMPUTER LABS,I.S. 192 - QUEENS,109-89 204 STREET,90000,,4,11412,40.70646,-73.753579,12,27,508,4234318,4109440301,Hollis                                                                     
JHY,Q037,INDOOR BUILDING IMPROVEMENT - COMPUTER ROOM WIRING TO UPGRADE COMPUTER LABS,P.S. 37 - QUEENS,179-37 137 AVENUE,99997,,4,11434,40.67588,-73.758505,12,27,352,4279864,4129930118,St. Albans                                                                 
JHZ,Q161,INDOOR BUILDING IMPROVEMENT - COMPUTER ROOM WIRING TO UPGRADE COMPUTER LABS,P.S. 161 - QUEENS,101-33 124TH STREET,247500,,4,11419,40.690798,-73.821657,9,28,156,4200748,4094910001,Richmond Hill                                                              
JI0,Q180,INDOOR BUILDING IMPROVEMENT - COMPUTER ROOM WIRING TO UPGRADE COMPUTER LABS,THE SCHOLARS ACADEMY - QUEENS,320 BEACH 104 STREET,49479,,4,11694,40.584109,-73.825711,14,32,938,4303722,4161590012,Breezy Point-Belle Harbor-Rockaway Park-Broad Channel                      
JFT,K031,INDOOR BUILDING IMPROVEMENT - COMPUTER ROOM WIRING TO UPGRADE COMPUTER LABS,P.S. 31 - BROOKLYN,75 MESEROLE AVENUE,90000,,3,11222,40.726587,-73.95427,1,33,561,3065299,3025950001,Greenpoint                                                                 
JFU,K318,INDOOR BUILDING IMPROVEMENT - COMPUTER ROOM WIRING TO UPGRADE COMPUTER LABS,I.S. 318 - BROOKLYN,101 WALTON STREET,75000,,3,11206,40.7025,-73.948869,1,33,509,3061328,3022460001,Williamsburg                                                               
JFV,K249,INDOOR BUILDING IMPROVEMENT - COMPUTER ROOM WIRING TO UPGRADE COMPUTER LABS,P.S. 249 - BROOKLYN,18 MARLBOROUGH ROAD,150000,,3,11226,40.64971,-73.966046,14,40,506,3116438,3050750001,Flatbush                                                                   
JFW,K001,INDOOR BUILDING IMPROVEMENT - COMPUTER ROOM WIRING TO UPGRADE COMPUTER LABS,P.S. 1 - BROOKLYN,309 47 STREET,69319,,3,11220,40.649042,-74.012289,7,38,80,3011821,3007550022,Sunset Park West                                                           
JFX,K155,INDOOR BUILDING IMPROVEMENT - COMPUTER ROOM WIRING TO UPGRADE COMPUTER LABS,P.S. 155 - BROOKLYN,1355 HERKIMER STREET,299945,,3,11233,40.677415,-73.908734,16,37,369,3042263,3015520043,Ocean Hill                                                                 
JFY,K106,INDOOR BUILDING IMPROVEMENT - COMPUTER ROOM WIRING TO UPGRADE COMPUTER LABS,P.S. 106 - BROOKLYN,1328 PUTNAM AVENUE,169990,,3,11221,40.693879,-73.913056,4,37,435,3077286,3033770001,Bushwick North                                                             
JHQ,Q178,INDOOR BUILDING IMPROVEMENT - COMPUTER ROOM WIRING TO UPGRADE COMPUTER LABS,P.S. 178 - QUEENS,189-10 RADNOR RD,50000,,4,11423,40.724479,-73.777454,8,23,1277,4156558,4072770001,Jamaica Estates-Holliswood                                                 
JHR,Q179,INDOOR BUILDING IMPROVEMENT - COMPUTER ROOM WIRING TO UPGRADE COMPUTER LABS,P.S. 179,196-25 PECK AVENUE,100000,,4,11365,40.741803,-73.779634,8,23,1347,4153407,4071280010,Fresh Meadows-Utopia                                                       
JG1,K247,INDOOR BUILDING IMPROVEMENT - COMPUTER ROOM WIRING TO UPGRADE COMPUTER LABS,P.S. 247 - BROOKLYN,7000 21 AVENUE,35000,,3,11204,40.612273,-73.986713,11,47,258,3157466,3061740036,Bensonhurst West                                                           
JG2,K238,INDOOR BUILDING IMPROVEMENT - COMPUTER ROOM WIRING TO UPGRADE COMPUTER LABS,P.S. 238 - BROOKLYN,1633 EAST 8 STREET,34877,,3,11223,40.608862,-73.965058,15,44,420,3176229,3066400013,Homecrest                                                                  
JG3,K180,INDOOR BUILDING IMPROVEMENT - COMPUTER ROOM WIRING TO UPGRADE COMPUTER LABS,P.S. 180 - BROOKLYN,5601 16TH AVENUE,34964,,3,11204,40.627029,-73.989672,12,44,470,3130809,3054920001,Borough Park                                                               
JG4,K205,INDOOR BUILDING IMPROVEMENT - COMPUTER ROOM WIRING TO UPGRADE COMPUTER LABS,P.S. 205 - BROOKLYN,6701 20 AVENUE,49982,,3,11204,40.61527,-73.987149,11,47,256,3134749,3055710001,Bensonhurst West                                                           
JG5,K192,INDOOR BUILDING IMPROVEMENT - COMPUTER ROOM WIRING TO UPGRADE COMPUTER LABS,P.S. 192 - BROOKLYN,4715 18 AVENUE,50000,,3,11204,40.629303,-73.979995,12,44,476,3128909,3054450001,Borough Park                                                               
JG6,K177,INDOOR BUILDING IMPROVEMENT - COMPUTER ROOM WIRING TO UPGRADE COMPUTER LABS,P.S. 177 - BROOKLYN,346 AVENUE P,49992,,3,11204,40.608604,-73.974847,11,44,424,3175834,3066310001,Bensonhurst East                                                           
JG7,K164,INDOOR BUILDING IMPROVEMENT - COMPUTER ROOM WIRING TO UPGRADE COMPUTER LABS,P.S. 164 - BROOKLYN,4211 14TH AVENUE,35000,,3,11219,40.637486,-73.985955,12,44,232,3135976,3056000001,Borough Park                                                               
JG8,K153,INDOOR BUILDING IMPROVEMENT - COMPUTER ROOM WIRING TO UPGRADE COMPUTER LABS,P.S. 153 - BROOKLYN,1970 HOMECREST AVENUE,139691,,3,11229,40.601617,-73.959779,15,48,556,3196677,3072910030,Homecrest                                                                  
JHT,Q172,INDOOR BUILDING IMPROVEMENT - COMPUTER ROOM WIRING TO UPGRADE COMPUTER LABS,J.H.S. 172 - QUEENS,81-14 257 STREET,138578,,4,11004,40.741944,-73.712965,13,23,157902,4178464,4087310004,Glen Oaks-Floral Park-New Hyde Park                                        
JHU,Q036,INDOOR BUILDING IMPROVEMENT - COMPUTER ROOM WIRING TO UPGRADE COMPUTER LABS,P.S. 36 - QUEENS,187-01 FOCH BLVD,59400,,4,11412,40.690828,-73.763907,12,27,366,4268900,4124390032,St. Albans                                                                 
JF6,K269,INDOOR BUILDING IMPROVEMENT - COMPUTER ROOM WIRING TO UPGRADE COMPUTER LABS,P.S. 269 - BROOKLYN,1957 NOSTRAND AVENUE,150000,,3,11210,40.637711,-73.948159,17,45,788,3113780,3049940023,Flatbush                                                                   
JF7,K555,INDOOR BUILDING IMPROVEMENT - COMPUTER ROOM WIRING TO UPGRADE COMPUTER LABS,BROOKLYN COLLEGE ACADEMY - K,2900 BEDFORD AVENUE,34999,,3,11210,40.631691,-73.952656,14,45,772,3347326,3075520100,Flatbush                                                                   
JGB,K057,INDOOR BUILDING IMPROVEMENT - COMPUTER ROOM WIRING TO UPGRADE COMPUTER LABS,J.H.S. 57 - BROOKLYN,125 STUYVESANT AVENUE,99988,,3,11221,40.691274,-73.933697,3,36,291,3043822,3016160001,Stuyvesant Heights                                                         
JGC,K210,INDOOR BUILDING IMPROVEMENT - COMPUTER ROOM WIRING TO UPGRADE COMPUTER LABS,I.S. 394 - BROOKLYN,188 ROCHESTER AVENUE,66000,,3,11213,40.672762,-73.927973,8,36,347,3036289,3013670022,Crown Heights North                                                        
JGN,K046,INDOOR BUILDING IMPROVEMENT - COMPUTER ROOM WIRING TO UPGRADE COMPUTER LABS,FORT GREENE PREPARATORY ACADEM,100 CLERMONT AVENUE,50000,,3,11205,40.694633,-73.971165,2,35,187,3058088,3020450011,Fort Greene                                                                
JGO,K525,INDOOR BUILDING IMPROVEMENT - COMPUTER ROOM WIRING TO UPGRADE COMPUTER LABS,EDWARD R. MURROW HS - K,1600 AVENUE L,159469,,3,11230,40.620525,-73.959285,14,44,768,3180673,3067340109,Midwood                                                                    
JGP,K254,INDOOR BUILDING IMPROVEMENT - COMPUTER ROOM WIRING TO UPGRADE COMPUTER LABS,P.S. 254 - BROOKLYN,1801 AVENUE Y,109999,,3,11235,40.590423,-73.951753,15,48,592,3203132,3074200026,Sheepshead Bay-Gerritsen Beach-Manhattan Beach                             
JGQ,K286,INDOOR BUILDING IMPROVEMENT - COMPUTER ROOM WIRING TO UPGRADE COMPUTER LABS,P.S. 811 (@ K286),2525 HARING STREET,249625,,3,11235,40.591109,-73.9391,15,48,596,3204767,3074470001,Sheepshead Bay-Gerritsen Beach-Manhattan Beach                             
JGR,K650,INDOOR BUILDING IMPROVEMENT - COMPUTER ROOM WIRING TO UPGRADE COMPUTER LABS,BROOKLYN PREPARATORY HS - K,257 N 6TH STREET,35000,,3,11211,40.715073,-73.954754,1,33,519,3062135,3023300011,North Side-South Side                                                      
JGT,Q164,INDOOR BUILDING IMPROVEMENT - COMPUTER ROOM WIRING TO UPGRADE COMPUTER LABS,P.S. 164 - QUEENS,138-01 77 AVENUE,100000,,4,11367,40.720924,-73.823362,8,24,77902,4142980,4066060002,Kew Gardens Hills                                                          
JGU,Q082,INDOOR BUILDING IMPROVEMENT - COMPUTER ROOM WIRING TO UPGRADE COMPUTER LABS,P.S. 82 - QUEENS,88-02 144 STREET,99987,,4,11435,40.704072,-73.811771,12,24,214,4206905,4096840008,Briarwood-Jamaica Hills                                                    
JGV,Q051,INDOOR BUILDING IMPROVEMENT - COMPUTER ROOM WIRING TO UPGRADE COMPUTER LABS,P.S. 51 - QUEENS,87-45 117TH STREET,59395,,4,11418,40.699015,-73.832356,9,29,122,4449704,4093270026,Richmond Hill                                                              
JH2,Q117,INDOOR BUILDING IMPROVEMENT - COMPUTER ROOM WIRING TO UPGRADE COMPUTER LABS,P.S. 117 - QUEENS,85-15 143RD STREET,100000,,4,11435,40.709463,-73.813376,8,24,232,4208040,4097230150,Briarwood-Jamaica Hills                                                    
JH3,Q005,INDOOR BUILDING IMPROVEMENT - COMPUTER ROOM WIRING TO UPGRADE COMPUTER LABS,I.S. 5 - QUEENS,50-40 JACOBUS STREET,148334,,4,11373,40.737718,-73.887429,4,25,489,4454423,4024500017,Elmhurst-Maspeth                                                           
JH4,Q125,INDOOR BUILDING IMPROVEMENT - COMPUTER ROOM WIRING TO UPGRADE COMPUTER LABS,I.S. 125 - QUEENS,46-02 47 AVENUE,49994,,4,11377,40.741131,-73.918945,2,26,235,4052874,4022840006,Hunters Point-Sunnyside-West Maspeth                                       
JH5,Q005,INDOOR BUILDING IMPROVEMENT - COMPUTER ROOM WIRING TO UPGRADE COMPUTER LABS,I.S. 5 - QUEENS,50-40 JACOBUS STREET,34549,,4,11373,40.737718,-73.887429,4,25,489,4454423,4024500017,Elmhurst-Maspeth                                                           
JGD,K297,INDOOR BUILDING IMPROVEMENT - COMPUTER ROOM WIRING TO UPGRADE COMPUTER LABS,P.S. 297 - BROOKLYN,700 PARK AVENUE,149964,,3,11206,40.697781,-73.947809,3,36,257,3048508,3017390011,Bedford                                                                    
JGE,K324,INDOOR BUILDING IMPROVEMENT - COMPUTER ROOM WIRING TO UPGRADE COMPUTER LABS,I.S. 267 - BROOKLYN,800 GATES AVENUE,99987,,3,11221,40.68832,-73.932275,3,36,293,3044657,3016360001,Stuyvesant Heights                                                         
JGW,Q168,INDOOR BUILDING IMPROVEMENT - COMPUTER ROOM WIRING TO UPGRADE COMPUTER LABS,THE QUEENS SCHOOL OF INQUIRY-Q,158-40 76 ROAD,118794,,4,11366,40.724458,-73.810216,8,24,1257,4147847,4068260001,Kew Gardens Hills                                                          
JGX,Q220,INDOOR BUILDING IMPROVEMENT - COMPUTER ROOM WIRING TO UPGRADE COMPUTER LABS,P.S. 220 - QUEENS,62-10 108 STREET,149968,,4,11375,40.736524,-73.851455,6,29,745,4051290,4021430001,Forest Hills                                                               
JGY,Q196,INDOOR BUILDING IMPROVEMENT - COMPUTER ROOM WIRING TO UPGRADE COMPUTER LABS,P.S. 196 - QUEENS,71-25 113TH STREET,197999,,4,11375,40.722782,-73.837946,6,29,75702,4052713,4022480100,Forest Hills                                                               
JGZ,Q154,INDOOR BUILDING IMPROVEMENT - COMPUTER ROOM WIRING TO UPGRADE COMPUTER LABS,P.S. 154 - QUEENS,75-02 162 STREET,99999,,4,11366,40.726769,-73.806894,8,24,1257,4148003,4068340001,Kew Gardens Hills                                                          
JH0,Q144,INDOOR BUILDING IMPROVEMENT - COMPUTER ROOM WIRING TO UPGRADE COMPUTER LABS,P.S. 144 - QUEENS,93-02 69 AVENUE,197991,,4,11375,40.714978,-73.853372,6,29,729,4076870,4032120001,Forest Hills                                                               
JH1,Q139,INDOOR BUILDING IMPROVEMENT - COMPUTER ROOM WIRING TO UPGRADE COMPUTER LABS,P.S. 139 - QUEENS,93-06 63 DRIVE,84991,,4,11374,40.72814,-73.863582,6,29,693,4072457,4030950050,Rego Park                                                                  
JF8,K240,INDOOR BUILDING IMPROVEMENT - COMPUTER ROOM WIRING TO UPGRADE COMPUTER LABS,I.S. 240 - BROOKLYN,2500 NOSTRAND AVENUE,35000,,3,11210,40.623561,-73.946279,14,45,748,3208638,3076290030,Midwood                                                                    
JF9,K650,INDOOR BUILDING IMPROVEMENT - COMPUTER ROOM WIRING TO UPGRADE COMPUTER LABS,WIILIAMSBURG PREP- BROOKLYN,257 N 6TH STREET,35000,,3,11211,40.715073,-73.954754,1,33,519,3062135,3023300011,North Side-South Side                                                      
K4P,K085,"Cafeteria A/C
",K753 SPED - BROOKLYN,510 CLERMONT AVENUE,79052,,3,11238,40.682533,-73.968769,2,35,179,3057521,3020080001,Fort Greene                                                                
JFA,K650,INDOOR BUILDING IMPROVEMENT - COMPUTER ROOM WIRING TO UPGRADE COMPUTER LABS,WILLIAMSBURG HS FOR ARCH & DES,257 N 6TH STREET,35000,,3,11211,40.715073,-73.954754,1,33,519,3062135,3023300011,North Side-South Side                                                      
JFB,K020,INDOOR BUILDING IMPROVEMENT - COMPUTER ROOM WIRING TO UPGRADE COMPUTER LABS,I.S. 492- BROOKLYN,225 ADELPHI STREET,100000,,3,11205,40.690765,-73.971376,2,35,183,3058531,3020910003,Fort Greene                                                                
JFC,K035,INDOOR BUILDING IMPROVEMENT - COMPUTER ROOM WIRING TO UPGRADE COMPUTER LABS,BKLYN BROWNSTONE SCL - K,272 MCDONOUGH STREET,34991,,3,11233,40.681896,-73.935963,3,36,273,3047054,3016740011,Stuyvesant Heights                                                         
JFD,K805,INDOOR BUILDING IMPROVEMENT - COMPUTER ROOM WIRING TO UPGRADE COMPUTER LABS,SCIENCE SKILLS CENTER HS - K,49 FLATBUSH AVENUE EXT.,99859,,3,11201,40.697339,-73.985016,2,33,15,3000216,3001200020,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill                           
JFE,K009,INDOOR BUILDING IMPROVEMENT - COMPUTER ROOM WIRING TO UPGRADE COMPUTER LABS,P.S. 9 - BROOKLYN,80 UNDERHILL AVENUE,99993,,3,11238,40.678297,-73.965541,8,35,205,3028204,3011450026,Prospect Heights                                                           
JFF,K316,INDOOR BUILDING IMPROVEMENT - COMPUTER ROOM WIRING TO UPGRADE COMPUTER LABS,P.S. 316 - BROOKLYN,750 CLASSON AVENUE,34999,,3,11238,40.674406,-73.960254,8,35,215,3029246,3011670018,Prospect Heights                                                           
JFG,K307,INDOOR BUILDING IMPROVEMENT - COMPUTER ROOM WIRING TO UPGRADE COMPUTER LABS,P.S. 307 - BROOKLYN,209 YORK STREET,50000,,3,11201,40.701343,-73.982314,2,33,21,3000158,3000560007,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill                           
JFH,K217,INDOOR BUILDING IMPROVEMENT - COMPUTER ROOM WIRING TO UPGRADE COMPUTER LABS,P.S. 217 - BROOKLYN,1100 NEWKIRK AVENUE,50000,,3,11230,40.63398,-73.966558,14,40,526,3121072,3052320001,Flatbush                                                                   
JFI,K839,INDOOR BUILDING IMPROVEMENT - COMPUTER ROOM WIRING TO UPGRADE COMPUTER LABS,P.S. 134 - BROOKLYN,4001 18TH AVENUE,35000,,3,11218,40.63228,-73.973898,14,44,480,3127692,3054160048,Flatbush                                                                   
JFJ,K237,INDOOR BUILDING IMPROVEMENT - COMPUTER ROOM WIRING TO UPGRADE COMPUTER LABS,THE BROOKLYN SCHOOL OF INQUIRY,50 AVENUE P,49995,,3,11204,40.60731,-73.986595,11,44,428,3396829,3066180001,Bensonhurst East                                                           
JFK,K099,INDOOR BUILDING IMPROVEMENT - COMPUTER ROOM WIRING TO UPGRADE COMPUTER LABS,P.S. 99 - BROOKLYN,1120 EAST 10 STREET,99983,,3,11230,40.621565,-73.965595,12,44,454,3171478,3065350011,Ocean Parkway South                                                        
JFL,K814,INDOOR BUILDING IMPROVEMENT - COMPUTER ROOM WIRING TO UPGRADE COMPUTER LABS,P.S. 89 - BROOKLYN,265 WARWICK STREET,99976,,3,11207,40.677697,-73.886936,5,37,1170,3397079,3039520047,East New York                                                              
JFM,K073,INDOOR BUILDING IMPROVEMENT - COMPUTER ROOM WIRING TO UPGRADE COMPUTER LABS,P.S. 73 - BROOKLYN,251 MACDOUGAL STREET,300000,,3,11233,40.680318,-73.910644,16,37,369,3041561,3015280001,Ocean Hill                                                                 
JFN,K081,INDOOR BUILDING IMPROVEMENT - COMPUTER ROOM WIRING TO UPGRADE COMPUTER LABS,P.S. 81 - BROOKLYN,990 DEKALB AVENUE,299962,,3,11221,40.693161,-73.935765,3,36,289,3043248,3016020019,Stuyvesant Heights                                                         
JFO,K056,INDOOR BUILDING IMPROVEMENT - COMPUTER ROOM WIRING TO UPGRADE COMPUTER LABS,P.S. 56 - BROOKLYN,170 GATES AVENUE,107000,,3,11238,40.68505,-73.960659,2,35,231,3056874,3019830010,Clinton Hill                                                               
JFP,K314,INDOOR BUILDING IMPROVEMENT - COMPUTER ROOM WIRING TO UPGRADE COMPUTER LABS,P.S. 506 - BROOKLYN,330 59 STREET,69842,,3,11220,40.642121,-74.018997,7,38,74,3016258,3008620012,Sunset Park West                                                           
JFZ,K308,INDOOR BUILDING IMPROVEMENT - COMPUTER ROOM WIRING TO UPGRADE COMPUTER LABS,P.S. 308 - BROOKLYN,616 QUINCY STREET,254959,,3,11221,40.688695,-73.935499,3,36,293,3044493,3016300001,Stuyvesant Heights                                                         
JG0,K293,INDOOR BUILDING IMPROVEMENT - COMPUTER ROOM WIRING TO UPGRADE COMPUTER LABS,SCHOOL FOR INT'L STUD - K,284 BALTIC STREET,121999,,3,11201,40.685419,-73.993351,6,33,69,3006401,3004020001,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill                           
JG9,K121,INDOOR BUILDING IMPROVEMENT - COMPUTER ROOM WIRING TO UPGRADE COMPUTER LABS,P.S. 121 - BROOKLYN,5301 20TH AVENUE,49966,,3,11204,40.623273,-73.978822,12,44,464,3253281,3054951101,Borough Park                                                               
JGA,K085,INDOOR BUILDING IMPROVEMENT - COMPUTER ROOM WIRING TO UPGRADE COMPUTER LABS,P.S. 85 (STERLING SCHOOL),510 CLERMONT AVENUE,49999,,3,11238,40.682533,-73.968769,2,35,179,3057521,3020080001,Fort Greene                                                                
JGF,K195,INDOOR BUILDING IMPROVEMENT - COMPUTER ROOM WIRING TO UPGRADE COMPUTER LABS,P.S. 195 - BROOKLYN,131 IRWIN STREET,109990,,3,11235,40.579451,-73.943819,15,48,620,3246519,3087520035,Sheepshead Bay-Gerritsen Beach-Manhattan Beach                             
JGG,K535,INDOOR BUILDING IMPROVEMENT - COMPUTER ROOM WIRING TO UPGRADE COMPUTER LABS,LEON GOLDSTEIN HS - BROOKLYN,1830 SHORE BOULEVARD,109931,,3,11235,40.580894,-73.935952,15,48,616,3326938,3087600060,Sheepshead Bay-Gerritsen Beach-Manhattan Beach                             
K5L,Q012,"Auditorium Upgrade
",P.S. 12 - QUEENS,42-00 72 STREET,67997,,4,11377,40.742633,-73.892805,2,26,483,4031853,4013490028,Elmhurst-Maspeth                                                           
JI1,Q040,INDOOR BUILDING IMPROVEMENT - COMPUTER ROOM WIRING TO UPGRADE COMPUTER LABS,P.S. 40 - QUEENS,109-20 UNION HALL STREET,99310,,4,11433,40.694125,-73.790675,12,28,260,4263341,4121510001,South Jamaica                                                              
JI2,Q410,INDOOR BUILDING IMPROVEMENT - COMPUTER ROOM WIRING TO UPGRADE COMPUTER LABS,ROCKAWAY PARK HS FOR ENVIRONME,100-00 BEACH CHANNEL DRIVE,296998,,4,11694,40.586066,-73.822624,14,32,94201,4303773,4161670099,Breezy Point-Belle Harbor-Rockaway Park-Broad Channel                      
JI3,Q202,INDOOR BUILDING IMPROVEMENT - COMPUTER ROOM WIRING TO UPGRADE COMPUTER LABS,HS OF COMMN. ARTS & TECH - QUE,138-30 LAFAYETTE STREET,150000,,4,11417,40.67124,-73.845141,10,32,58,4245993,4114030001,Ozone Park                                                                 
JI4,Q023,INDOOR BUILDING IMPROVEMENT - COMPUTER ROOM WIRING TO UPGRADE COMPUTER LABS,QUEENS ACADEMY HIGH SCHOOL - Q,138-11 35 AVENUE,74998,,4,11354,40.765162,-73.8288,7,20,88901,4112106,4049560055,Flushing                                                                   
JGJ,K096,INDOOR BUILDING IMPROVEMENT - COMPUTER ROOM WIRING TO UPGRADE COMPUTER LABS,I.S. 96 - BROOKLYN,99 AVENUE P,100000,,3,11204,40.60754,-73.984661,11,44,430,3174076,3065950033,Bensonhurst East                                                           
JGK,K302,INDOOR BUILDING IMPROVEMENT - COMPUTER ROOM WIRING TO UPGRADE COMPUTER LABS,I.S. 302 - BROOKLYN,350 LINWOOD STREET,209987,,3,11208,40.677104,-73.883433,5,37,1170,3088357,3039690001,East New York                                                              
JGL,K171,INDOOR BUILDING IMPROVEMENT - COMPUTER ROOM WIRING TO UPGRADE COMPUTER LABS,I.S. 171 - BROOKLYN,528 RIDGEWOOD AVENUE,99995,,3,11208,40.68618,-73.869625,5,37,1184,3092456,3041340020,Cypress Hills-City Line                                                    
JGM,K505,INDOOR BUILDING IMPROVEMENT - COMPUTER ROOM WIRING TO UPGRADE COMPUTER LABS,FRANKLIN D. ROOSEVELT HS - K,5800 20 AVENUE,49999,,3,11204,40.620446,-73.981795,12,44,468,3131537,3055060006,Borough Park                                                               
JH6,Q868,INDOOR BUILDING IMPROVEMENT - COMPUTER ROOM WIRING TO UPGRADE COMPUTER LABS,P.S. 78 - QUEENS,48-09 CENTER BLVD.,46372,,4,11109,40.744753,-73.957971,2,26,1,4000019,4000180001,Hunters Point-Sunnyside-West Maspeth                                       
JH7,Q199,INDOOR BUILDING IMPROVEMENT - COMPUTER ROOM WIRING TO UPGRADE COMPUTER LABS,P.S. 199 - QUEENS,39-20 48 AVENUE,50000,,4,11104,40.740088,-73.926214,2,26,189,4002915,4002060003,Hunters Point-Sunnyside-West Maspeth                                       
JH8,Q011,INDOOR BUILDING IMPROVEMENT - COMPUTER ROOM WIRING TO UPGRADE COMPUTER LABS,P.S. 11 - QUEENS,54-25 SKILLMAN AVENUE,49449,,4,11377,40.745244,-73.90872,2,26,251,4552510,4012390001,Woodside                                                                   
JH9,Q111,INDOOR BUILDING IMPROVEMENT - COMPUTER ROOM WIRING TO UPGRADE COMPUTER LABS,P.S. 111 - QUEENS,37-15 13 STREET,50000,,4,11101,40.758831,-73.93938,1,26,43,4004419,4003630001,Queensbridge-Ravenswood-Long Island City                                   
JHA,Q686,INDOOR BUILDING IMPROVEMENT - COMPUTER ROOM WIRING TO UPGRADE COMPUTER LABS,I.S./H.S. 167 - QUEENS,91-30 METROPOLITAN AVENUE,69285,,4,11375,40.711367,-73.856698,6,29,645,4447233,4038860800,Forest Hills                                                               
JHB,Q425,INDOOR BUILDING IMPROVEMENT - COMPUTER ROOM WIRING TO UPGRADE COMPUTER LABS,JOHN BOWNE HS - QUEENS,63-25 MAIN STREET,99117,,4,11367,40.738139,-73.824944,8,24,809,4439900,4065070001,Kew Gardens Hills                                                          
JHC,Q216,INDOOR BUILDING IMPROVEMENT - COMPUTER ROOM WIRING TO UPGRADE COMPUTER LABS,J.H.S. 216 - QUEENS,64-20 175 STREET,99999,,4,11365,40.737517,-73.794031,8,24,1341,4149078,4069030001,Fresh Meadows-Utopia                                                       
JHD,Q190,INDOOR BUILDING IMPROVEMENT - COMPUTER ROOM WIRING TO UPGRADE COMPUTER LABS,J.H.S. 190 - QUEENS,68-17 AUSTIN STREET,395961,,4,11375,40.722707,-73.851699,6,29,71305,4075214,4031720002,Forest Hills                                                               
JHE,Q204,INDOOR BUILDING IMPROVEMENT - COMPUTER ROOM WIRING TO UPGRADE COMPUTER LABS,I.S. 204 - QUEENS,36-41 28 STREET,74990,,4,11106,40.757065,-73.932664,1,26,51,4004156,4003430001,Queensbridge-Ravenswood-Long Island City                                   
JHF,Q440,INDOOR BUILDING IMPROVEMENT - COMPUTER ROOM WIRING TO UPGRADE COMPUTER LABS,FOREST HILLS HS - QUEENS,67-01 110 STREET,222718,,4,11375,40.729402,-73.845637,6,29,747,4052143,4021890002,Forest Hills                                                               
JJ4,Q134,INDOOR BUILDING IMPROVEMENT - COMPUTER ROOM WIRING TO UPGRADE COMPUTER LABS,P.S. 134 - QUEENS,203-02 109TH AVENUE,150000,,4,11412,40.70799,-73.755269,12,27,508,4440330,4109060001,Hollis                                                                     
